741.07,0.00,100.00,0.00,9
755.84,0.00,100.00,4.92,9
864.26,0.00,100.00,3.56,9
44.16,0.00,100.00,2.20,8
364.09,0.00,100.00,0.84,8
349.83,0.00,100.00,5.77,8
355.15,0.00,100.00,4.41,7
380.07,0.00,100.00,3.05,7
1237.46,0.00,100.00,1.69,7
870.45,0.00,100.00,0.33,6
794.67,0.00,100.00,5.25,6
769.76,0.00,100.00,3.89,6
761.51,0.00,100.00,2.53,5
763.57,0.00,100.00,1.17,5
0.00,0.00,100.00,6.10,5
790.72,0.00,100.00,4.74,4
343.30,0.00,100.00,3.38,4
336.08,0.00,100.00,2.02,4
331.62,0.00,100.00,0.66,3
2259.45,0.00,100.00,5.58,3
882.13,0.00,100.00,4.22,3
1384.02,0.00,100.00,2.86,2
0.00,0.00,100.00,1.50,2
747.25,0.00,100.00,0.14,2
325.95,0.00,100.00,1.57,9
1178.87,0.00,100.00,0.21,9
835.57,0.00,100.00,5.13,9
766.15,0.00,100.00,3.77,8
747.59,0.00,100.00,2.41,8
736.60,0.00,100.00,1.06,8
743.13,0.00,100.00,5.98,7
749.48,0.00,100.00,4.62,7
769.93,0.00,100.00,3.26,7
378.18,0.00,100.00,1.90,6
358.59,0.00,100.00,0.54,6
365.29,0.00,100.00,5.46,6
0.00,0.00,100.00,4.10,5
0.00,0.00,100.00,2.74,5
0.00,0.00,100.00,1.38,5
931.79,0.00,100.00,0.02,4
774.05,0.00,100.00,4.95,4
759.45,0.00,100.00,3.59,4
765.12,0.00,100.00,2.23,3
797.77,0.00,100.00,0.87,3
868.38,0.00,100.00,5.79,3
1428.35,0.00,100.00,4.43,2
367.35,0.00,100.00,3.07,2
327.49,0.00,100.00,1.71,2
711.34,0.00,100.00,3.14,9
748.11,0.00,100.00,1.78,9
351.03,0.00,100.00,0.42,9
331.44,0.00,100.00,5.35,8
343.30,0.00,100.00,3.99,8
343.47,0.00,100.00,2.63,8
0.00,0.00,100.00,1.27,7
2244.67,0.00,100.00,6.19,7
